MinTemp,MaxTemp,WindGustDir,WindGustSpeed,Humidity,Pressure,Temp,CloudCover,Evaporation,Sunshine,WindSpeed_9am,WindSpeed_3pm,Humidity_9am,Humidity_3pm,Pressure_9am,Pressure_3pm,RainToday
11.7,50.5,S,26.2,73.9,999.0,33.1,12.3,5.7,10.9,30.7,20.3,12.5,97.0,1020.8,1002.4,No
-0.8,13.6,ENE,51.5,17.8,996.4,14.1,9.3,4.3,12.2,48.7,11.1,42.1,64.5,991.1,980.2,No
22.5,27.7,SSE,70.3,40.8,1007.0,13.8,53.0,0.8,4.7,21.4,41.6,49.6,53.0,1023.9,1003.1,No
-2.5,35.1,E,67.6,12.0,1024.4,34.3,25.6,4.4,10.5,33.1,6.6,97.5,39.6,990.2,1011.1,No
16.4,22.3,S,74.3,84.0,1000.3,25.7,83.8,6.4,11.6,39.4,45.0,91.1,35.9,1014.9,994.0,Yes
12.7,26.7,WSW,81.2,20.5,980.4,21.5,23.7,14.9,11.4,30.3,24.8,51.7,43.1,992.1,1001.7,No
0.7,38.7,S,52.2,27.7,1000.5,17.8,40.0,12.9,12.8,9.2,1.5,10.5,18.3,994.1,985.1,No
24.5,40.1,WSW,32.4,38.0,1017.7,27.8,48.2,1.3,2.7,44.3,4.8,82.6,28.1,983.9,1000.3,No
0.8,25.4,SW,24.3,41.6,1019.4,13.1,82.9,10.0,7.5,3.9,41.4,48.4,52.3,1000.4,1001.5,No
17.4,25.0,WSW,67.7,89.1,1007.1,23.3,89.7,11.5,1.9,2.8,40.3,55.2,44.3,1007.3,997.5,Yes
17.3,27.8,SSW,23.4,61.1,1021.5,29.0,26.1,0.7,0.9,13.1,38.2,26.7,13.8,1006.2,1005.8,No
-3.3,26.3,NE,58.9,45.6,997.3,34.9,95.1,0.3,5.9,13.9,31.1,83.5,48.8,982.7,1006.0,Yes
9.9,31.4,ENE,58.9,23.3,983.4,25.9,11.5,10.5,3.9,25.6,24.1,76.6,23.4,1013.6,991.5,No
15.6,43.2,SSE,83.8,35.4,984.0,21.7,66.6,4.7,8.4,32.0,12.8,67.2,90.1,1020.9,1012.7,Yes
15.0,40.9,ESE,60.8,30.9,987.9,5.6,34.8,8.8,7.3,40.3,10.6,10.5,17.8,1003.2,1027.3,No
-1.7,26.0,NNW,62.1,33.9,993.1,31.5,55.0,10.9,8.9,41.9,5.0,48.4,90.6,1003.0,1018.4,No
25.0,51.7,SE,82.7,13.5,996.7,26.1,70.7,1.3,6.6,34.0,30.4,57.2,52.6,992.0,1025.9,No
20.1,44.9,N,63.6,75.3,988.8,29.4,26.5,12.5,3.6,30.5,43.6,91.1,24.0,983.5,1008.6,Yes
14.3,25.7,SW,59.8,52.1,1013.6,18.0,17.5,8.0,6.2,48.6,7.4,51.8,89.9,1001.1,992.4,No
21.7,34.4,SSE,43.4,29.6,988.0,31.7,22.6,6.0,1.4,34.8,49.4,62.7,33.7,994.7,981.7,No
4.4,36.1,NNE,66.2,12.0,1025.1,14.5,28.0,3.1,0.9,31.5,31.3,14.5,38.0,992.9,1008.2,No
-4.3,40.6,NNW,89.3,26.8,1008.6,31.7,99.7,13.3,13.5,27.0,0.2,58.9,26.8,999.5,1022.1,No
23.1,31.9,SSE,60.0,49.7,999.4,8.2,78.8,6.1,6.3,46.1,22.9,29.1,83.6,1010.5,1002.6,Yes
20.3,26.2,SSE,57.8,73.3,1005.7,22.1,14.6,6.6,2.8,24.4,17.6,45.5,97.5,1006.1,1000.4,No
22.9,32.3,NNE,98.7,39.5,995.2,27.6,30.3,2.0,2.4,40.8,9.4,17.8,92.8,1005.8,1000.6,No
1.2,16.0,SW,71.3,48.9,1010.2,19.7,8.8,14.9,10.7,13.7,31.8,44.5,66.1,995.2,1013.5,No
2.6,35.0,NNE,57.8,76.1,985.0,14.8,26.2,2.7,3.3,17.7,46.1,42.3,16.9,985.1,1028.1,Yes
23.8,36.7,WSW,38.9,91.2,986.4,29.5,45.9,12.1,11.8,21.0,0.6,20.2,59.4,1011.8,984.5,Yes
12.6,22.0,ESE,37.6,89.6,991.5,25.9,64.2,0.5,10.5,28.1,25.6,81.9,16.6,1003.2,1015.0,Yes
21.6,26.1,NE,65.6,98.9,990.3,31.4,86.7,10.5,4.3,9.7,43.3,86.1,74.2,1014.3,1027.2,Yes
5.5,21.3,ESE,35.1,89.8,1015.7,6.7,49.0,7.8,8.0,21.1,17.0,26.8,60.9,1004.9,1025.8,No
19.9,40.6,SW,76.5,23.6,1001.0,30.1,42.0,14.8,3.7,33.3,5.2,90.2,77.7,1028.8,1021.8,No
13.4,22.4,SE,28.5,53.4,989.5,7.3,89.9,8.1,2.2,11.8,28.3,65.6,19.1,1022.2,1003.8,Yes
14.9,24.2,SW,54.5,74.3,996.6,33.4,29.3,3.8,10.9,4.4,13.3,56.8,17.1,990.9,1009.7,No
15.9,35.5,SSW,75.7,73.9,986.9,8.9,60.8,0.3,12.2,43.7,40.6,38.1,87.4,998.1,1016.9,Yes
23.3,32.0,NNW,67.8,16.9,980.1,34.2,19.7,3.2,5.3,0.5,43.8,66.5,25.0,986.4,1001.4,No
8.5,45.1,NNE,92.9,70.6,997.1,25.2,97.4,12.4,4.7,28.0,18.0,74.9,82.8,1008.8,997.3,Yes
-1.6,43.0,ENE,98.4,34.7,995.6,25.4,24.2,11.5,1.5,14.3,3.3,79.0,41.7,1029.9,982.4,No
14.1,31.0,SE,86.0,24.5,985.1,30.8,57.2,9.3,11.5,35.4,4.4,88.9,75.0,982.8,1005.3,No
-1.0,18.3,E,69.0,14.9,1029.8,6.8,7.5,5.4,0.1,34.8,39.6,50.6,94.6,1005.6,1027.2,No
24.4,35.1,NW,37.8,61.4,988.8,12.3,16.5,5.3,12.4,1.8,48.3,86.4,15.9,1001.4,1015.1,No
12.4,20.2,SSW,53.2,36.3,999.4,12.1,59.2,2.0,7.1,16.5,48.4,81.2,58.7,1025.6,983.0,No
5.5,34.5,SE,17.9,91.8,1007.9,24.3,71.9,3.4,12.5,34.9,48.3,24.1,30.6,1024.8,1014.6,Yes
14.1,23.9,NNW,78.4,24.2,1010.7,30.5,61.2,2.0,6.1,18.0,19.2,38.1,36.9,980.7,1029.0,No
-3.4,21.6,W,10.1,28.7,993.6,5.9,53.4,0.0,9.6,41.2,33.5,42.6,27.2,1003.2,980.6,No
16.9,24.3,SSE,56.0,53.9,1017.7,11.4,84.4,10.6,6.3,16.4,25.9,32.2,66.5,1017.5,1023.8,No
2.2,25.9,SSW,57.1,32.5,1024.7,17.9,47.3,10.8,1.7,22.6,37.4,30.9,86.9,1012.4,1014.0,No
14.3,44.8,WSW,38.5,70.3,996.3,12.9,36.3,6.5,3.8,2.9,18.1,56.3,73.2,1012.9,1014.2,Yes
16.9,30.9,W,16.8,73.7,998.9,7.7,65.7,1.9,12.0,34.9,6.9,50.5,75.1,982.0,999.8,Yes
11.7,39.0,N,87.0,47.6,1006.2,5.7,1.5,11.2,3.7,9.5,5.1,38.4,42.3,1017.4,1003.8,No
9.9,37.6,WNW,17.9,66.7,1012.9,17.7,2.0,14.3,4.8,27.3,19.0,95.9,22.1,1025.5,1018.3,No
18.6,44.2,NNW,44.6,86.3,1000.5,28.0,45.8,6.4,2.1,36.7,22.2,73.3,35.5,1010.9,1009.3,Yes
7.1,41.8,WSW,83.6,82.8,1019.4,5.9,17.2,10.7,11.1,44.6,7.3,60.7,93.8,991.4,1018.5,No
-3.6,19.7,NNE,31.7,60.1,988.6,33.7,64.1,14.9,12.7,16.0,5.8,88.8,85.1,1016.4,1007.5,Yes
-4.3,22.4,SE,61.6,79.5,996.9,5.3,11.1,11.5,12.3,19.1,44.2,18.9,91.9,1011.7,996.5,No
21.9,25.1,SW,84.8,27.0,1002.1,17.6,17.7,6.6,12.6,39.5,43.3,28.1,23.0,980.9,997.8,No
12.1,20.3,WSW,16.0,17.3,1011.2,10.5,75.7,6.3,7.1,11.1,31.2,99.8,44.2,1004.8,1012.5,No
6.1,28.1,W,62.5,96.7,1000.1,31.0,57.4,3.1,11.6,45.1,13.4,21.6,78.9,1017.5,983.3,Yes
12.2,18.6,SSW,95.2,21.1,1016.0,32.9,76.0,5.1,8.7,35.2,32.1,45.9,54.0,993.9,1001.2,No
-1.4,32.2,NE,38.8,87.5,983.9,33.8,67.2,10.3,13.6,42.4,0.5,28.5,35.4,1009.9,1019.4,Yes
5.4,21.6,S,35.4,75.0,985.9,34.5,37.5,7.4,10.9,38.5,47.7,61.6,57.3,1012.2,1009.7,Yes
-0.9,18.4,ESE,29.9,74.9,996.9,33.8,66.9,12.8,13.1,25.0,21.2,53.8,24.8,1023.1,1000.5,Yes
2.1,34.9,WSW,97.8,55.3,1020.0,34.2,93.8,12.2,12.1,15.8,23.7,97.8,59.5,1001.5,1025.9,No
12.8,30.2,ENE,11.7,77.8,1009.3,11.6,17.5,7.0,2.9,15.1,26.8,29.0,91.7,998.8,998.3,No
0.6,23.2,WSW,63.3,97.7,1011.7,6.3,2.4,13.0,13.9,25.7,25.6,11.4,20.3,1011.4,1010.9,No
1.4,15.0,WNW,50.5,46.7,1005.1,16.6,81.0,13.1,8.2,40.4,15.3,29.3,36.3,1028.1,1001.7,Yes
14.8,47.9,N,49.7,53.9,1005.6,25.8,9.4,7.7,13.3,37.0,9.2,14.8,65.3,997.8,987.1,No
19.2,25.2,NE,71.6,73.4,981.9,26.3,42.7,7.5,1.9,24.9,5.3,97.8,20.4,983.5,1030.0,Yes
9.5,40.1,SSW,19.0,68.8,1013.1,8.8,91.9,12.4,4.0,22.9,23.8,21.0,18.7,1009.3,997.8,Yes
-3.5,42.8,N,25.1,84.1,1019.4,26.4,99.4,6.4,5.3,14.6,23.0,52.9,53.4,1014.7,998.8,Yes
16.9,45.9,E,27.0,59.1,1029.2,5.6,27.0,4.1,4.0,36.1,6.0,40.1,82.0,987.3,997.8,No
17.8,25.7,NW,13.2,44.9,1025.9,10.1,22.2,2.4,7.6,38.8,47.2,16.8,85.7,1000.3,981.2,No
6.7,37.8,WNW,72.8,53.1,996.9,30.4,25.1,6.0,9.4,41.3,15.2,54.3,59.4,998.5,981.2,No
21.4,31.9,NNE,12.0,99.6,988.3,11.9,42.1,8.9,13.2,44.6,18.1,76.9,43.6,1012.0,1018.4,Yes
17.2,48.7,ENE,82.4,99.7,995.3,23.0,7.3,13.8,9.9,44.1,45.5,85.6,78.6,981.0,1021.8,Yes
8.8,20.3,E,99.7,49.5,1001.2,30.1,50.9,14.9,3.2,34.0,18.9,78.8,78.2,983.7,985.4,No
2.0,33.0,NE,96.8,88.0,1003.7,27.7,29.4,3.1,12.5,40.4,27.5,83.6,16.6,1018.5,1028.9,No
23.8,32.6,SW,27.0,31.0,1002.8,10.3,63.0,9.0,2.5,29.6,40.5,68.2,92.7,1012.0,987.5,No
7.2,16.3,ESE,93.2,12.1,1022.2,12.3,9.6,9.8,4.0,39.1,43.5,21.0,11.1,1003.3,999.3,No
-0.1,26.1,NNE,48.2,83.4,1014.8,12.1,63.1,13.0,1.2,18.6,19.3,67.9,60.5,1007.5,1011.4,Yes
10.3,25.1,SW,17.4,39.3,997.4,25.6,91.7,8.7,13.2,4.0,23.2,23.8,64.0,1023.9,998.3,Yes
6.5,27.1,NNE,12.0,50.6,1014.8,19.8,95.5,3.2,10.7,48.5,23.0,41.4,73.3,992.7,1020.3,Yes
4.1,26.9,SW,30.2,59.5,1011.6,16.6,51.7,10.4,8.4,37.5,48.0,21.9,54.5,1001.8,1016.0,No
19.7,49.0,W,22.6,37.4,988.4,29.3,55.4,1.0,12.0,35.4,16.6,45.9,17.5,1029.2,1006.8,Yes
-0.9,47.7,N,79.6,30.7,1015.3,34.7,96.4,10.1,6.5,27.9,38.6,72.8,71.1,1009.9,983.5,No
19.0,25.0,NE,24.5,52.7,983.8,22.3,65.5,13.9,8.7,32.7,14.2,53.8,45.7,995.3,996.9,Yes
-2.2,23.6,NNW,38.9,42.4,1028.4,5.2,56.5,2.0,8.3,29.5,45.7,41.5,70.5,991.6,1004.9,No
13.0,28.8,WSW,71.7,17.6,981.0,19.9,9.8,9.9,12.1,26.5,1.9,85.2,98.0,991.6,992.3,No
-0.1,23.6,S,89.6,94.2,984.7,32.0,46.6,3.4,11.2,49.2,14.6,26.0,97.8,988.4,985.0,Yes
0.2,47.3,E,20.0,13.9,986.9,26.1,72.5,3.2,4.0,49.5,5.7,25.9,69.0,1027.3,999.1,Yes
2.1,20.8,E,67.1,66.3,981.1,28.9,59.9,9.9,8.1,23.0,15.1,11.5,73.9,1011.0,995.5,Yes
5.0,21.8,SW,70.4,89.4,1001.0,25.8,36.1,4.6,10.6,17.0,27.9,72.4,26.3,981.0,1002.3,Yes
5.5,31.1,SE,75.4,33.1,1021.7,34.6,0.8,9.8,11.8,44.5,6.6,80.4,39.1,980.2,989.7,No
23.3,25.6,ESE,77.0,99.4,1011.9,10.8,2.9,9.8,5.4,13.0,15.0,80.0,90.7,1001.5,1007.6,No
11.7,37.5,ESE,80.4,82.1,1001.8,29.7,49.3,12.6,10.6,8.3,36.4,37.9,72.0,1015.7,986.1,Yes
16.8,42.5,W,27.1,72.9,1015.2,16.4,47.1,11.4,9.0,12.3,6.7,30.5,65.5,985.9,1001.6,No
16.9,22.9,N,30.5,88.0,980.3,15.5,80.4,5.8,1.4,10.7,37.4,96.7,79.9,991.0,991.6,Yes
6.0,24.9,SSW,72.3,75.0,1013.8,26.3,61.2,9.6,11.8,7.9,48.1,40.4,87.6,1012.4,991.7,No
22.3,24.6,NNE,13.2,74.9,1013.6,26.8,40.6,10.6,12.8,19.4,40.2,51.4,93.5,1027.9,1005.1,No
0.2,19.4,NE,21.2,53.6,998.7,27.9,2.0,7.0,4.5,28.3,29.3,26.7,26.0,986.2,1015.0,No
0.7,50.4,NNW,79.7,42.3,986.4,29.4,90.5,11.5,12.0,25.7,46.8,88.0,70.9,1028.2,1001.8,Yes
13.3,43.3,E,79.3,20.4,986.4,31.9,85.1,2.5,8.5,4.2,43.8,83.4,80.9,998.2,1009.4,Yes
4.4,38.0,SSW,68.1,22.1,1014.3,22.2,50.9,2.8,10.6,3.3,33.6,83.6,33.6,1028.2,995.7,No
13.5,29.3,SE,66.7,27.8,1010.9,26.2,19.2,0.5,13.8,10.2,8.1,19.8,54.0,997.7,1000.4,No
-2.2,42.2,SE,89.4,16.2,993.6,33.6,74.3,0.2,5.5,29.1,43.9,20.9,35.1,999.3,995.3,No
18.7,47.8,NNW,67.4,94.5,1003.9,13.5,94.2,4.0,4.6,12.9,41.6,69.3,97.1,1007.7,1025.9,Yes
-0.3,22.2,E,79.5,52.8,997.1,17.9,69.9,3.2,4.8,13.8,0.5,54.3,27.6,1015.8,1007.1,Yes
-4.5,42.4,SE,89.1,63.7,1017.6,22.5,10.1,8.1,7.7,45.4,36.4,42.9,55.0,1013.3,1007.7,No
20.6,47.2,SE,81.1,88.0,983.1,17.3,6.0,14.8,13.4,16.5,47.5,43.5,23.7,1029.0,997.3,Yes
23.4,42.1,NNE,91.2,37.1,1005.3,21.2,72.3,9.3,8.9,4.7,43.9,78.4,43.3,981.2,1020.9,No
5.6,19.9,SSE,30.1,65.9,984.5,19.9,91.9,9.4,10.7,9.5,16.2,10.4,75.2,1029.9,1014.4,Yes
10.4,51.6,NW,76.0,26.6,1027.1,15.8,40.7,11.0,7.3,29.4,23.1,52.1,85.1,1006.5,1003.6,No
4.8,31.3,SE,11.1,85.5,1020.3,12.8,32.0,10.2,4.9,8.1,10.2,37.5,97.8,1008.2,1018.6,No
0.4,39.6,N,39.2,89.1,996.2,15.4,48.3,5.0,1.3,20.1,1.4,78.6,64.2,1029.1,980.8,Yes
12.9,25.9,S,36.2,85.4,981.2,12.5,78.9,10.9,3.3,32.1,3.5,21.1,25.0,982.6,980.7,Yes
1.5,22.0,W,95.6,38.7,1006.8,27.9,92.7,11.8,3.2,31.5,39.6,88.4,17.5,1012.3,1001.4,Yes
-0.7,28.0,WNW,22.4,94.7,994.5,7.6,33.6,4.1,1.9,37.0,30.6,91.6,99.1,1019.9,985.0,Yes
20.9,44.8,NNW,37.8,72.2,997.8,9.7,8.1,9.4,2.8,11.8,24.2,82.4,84.1,1011.4,992.6,No
-1.6,43.9,NW,70.9,59.9,992.1,11.8,78.4,11.3,5.7,5.4,18.9,41.7,94.8,1029.9,980.0,Yes
6.7,36.7,N,69.6,39.2,1023.0,9.0,81.4,8.4,6.4,37.3,4.6,94.4,52.8,985.0,1028.0,No
23.7,31.3,S,50.8,60.2,995.4,6.6,38.4,10.5,13.9,23.1,31.2,81.9,11.1,999.2,1027.1,No
4.3,27.5,NE,52.1,75.5,991.9,28.1,97.3,0.8,8.3,10.2,20.0,30.9,26.5,985.4,1017.9,Yes
16.5,40.4,ESE,81.5,75.5,990.3,23.2,18.6,11.9,6.7,26.9,12.5,56.6,80.2,1023.5,1007.3,Yes
20.6,27.8,SSW,36.1,26.6,1008.4,14.9,82.6,4.3,12.8,49.9,16.7,76.6,23.5,1021.2,995.4,No
2.6,37.0,NW,35.1,82.0,987.8,22.5,6.3,13.0,7.4,2.8,2.6,22.2,87.8,990.6,1017.0,Yes
10.1,38.8,S,88.3,26.5,1005.3,18.6,63.8,5.5,11.8,24.9,35.8,18.8,54.3,982.3,998.0,No
12.4,40.2,WNW,84.4,71.0,1012.4,25.3,50.3,10.8,10.1,6.8,15.5,54.5,40.3,988.0,1025.4,No
24.9,34.1,SE,69.8,57.7,1019.0,23.7,77.1,4.4,9.5,1.4,21.2,94.5,84.6,991.4,989.5,No
-0.9,35.6,NE,29.8,66.2,998.5,32.9,74.9,6.8,12.7,37.5,31.5,94.7,68.2,1002.6,1015.3,Yes
4.9,36.3,ESE,62.6,81.4,981.2,22.8,16.7,7.6,4.2,15.1,14.4,25.7,45.0,1003.0,981.7,Yes
-0.9,36.5,NW,27.6,46.8,1001.3,15.6,7.0,2.8,3.8,46.8,1.3,34.7,20.9,1002.4,991.3,No
11.3,17.5,SSE,12.7,27.5,1007.1,20.3,37.9,8.9,10.2,41.3,35.1,33.5,98.8,1001.5,984.9,No
0.3,31.5,S,40.6,37.7,1002.7,33.0,80.3,12.1,8.0,49.2,26.4,73.2,60.7,995.8,989.4,Yes
15.0,35.1,ENE,74.4,14.1,1001.1,13.1,36.9,8.2,5.1,39.9,21.8,11.6,21.4,1001.8,986.4,No
-3.1,51.1,ESE,94.8,85.6,1029.8,31.8,75.8,1.2,13.8,19.1,7.9,17.2,70.7,1011.9,1018.3,No
18.7,45.1,SW,74.1,88.3,1028.5,6.4,7.2,8.6,13.7,22.8,36.4,88.8,95.7,1007.1,1018.8,No
7.5,21.3,SSW,27.9,62.0,996.7,25.3,17.9,11.7,11.9,28.1,49.1,87.3,70.9,994.6,1009.3,No
7.6,35.8,ENE,79.9,57.5,1026.4,10.8,98.0,11.0,5.0,22.6,27.9,48.5,79.4,1009.2,980.2,No
-2.8,22.5,WSW,31.8,99.2,1002.8,28.7,28.7,4.1,7.6,37.1,20.1,20.4,96.9,1006.7,996.2,Yes
23.5,29.4,WSW,71.0,66.8,1007.1,18.8,62.3,6.0,10.7,16.1,47.6,93.5,49.7,1020.4,1002.7,Yes
-2.5,19.3,E,51.9,21.6,985.6,28.9,70.9,13.3,7.6,43.1,20.1,85.7,74.6,993.1,1001.0,Yes
21.3,46.7,ENE,46.7,94.8,1023.0,12.9,94.9,5.5,0.1,7.1,4.8,87.6,79.5,1016.0,993.4,Yes
1.3,13.3,W,74.6,65.9,985.9,20.1,99.8,7.2,9.2,16.4,37.1,15.1,59.0,990.0,1014.8,Yes
17.9,32.2,WSW,78.3,54.4,1022.8,25.5,9.9,7.1,5.3,40.4,0.6,77.6,91.5,1021.3,1010.6,No
5.2,35.8,ESE,44.9,83.1,982.0,6.9,56.6,3.3,1.4,43.4,34.0,47.8,42.7,994.2,1020.0,Yes
15.5,46.2,E,35.0,64.1,1006.0,33.0,45.2,12.0,13.6,1.0,3.4,77.4,56.8,993.1,1011.7,No
13.8,50.4,NNE,57.7,65.6,1027.5,15.2,16.5,15.0,6.0,29.6,47.5,17.8,92.6,989.6,993.4,No
-3.9,28.1,W,58.8,46.2,1010.9,11.3,90.5,12.6,11.3,35.1,16.1,72.3,25.7,996.7,1024.8,Yes
24.9,32.5,W,51.3,16.9,993.6,5.5,89.5,6.0,1.8,8.5,32.3,97.2,62.5,1006.7,1013.8,Yes
13.9,20.2,SE,32.6,79.3,1018.1,17.1,52.6,3.2,6.9,44.4,26.4,65.1,60.1,993.7,1010.2,No
-2.5,45.1,NNW,15.1,32.8,1019.2,22.8,10.0,6.1,5.9,6.1,17.5,13.1,97.5,986.9,1018.8,No
11.1,34.4,E,12.4,39.6,1024.2,19.3,11.4,8.3,12.4,5.8,23.5,26.7,73.9,1007.3,983.2,No
19.5,22.6,NNW,87.1,25.4,985.3,23.9,69.8,12.9,5.0,21.7,20.2,23.3,87.8,985.8,1022.5,Yes
11.6,20.9,ENE,65.8,55.8,1025.0,17.2,20.4,11.5,6.5,24.3,41.1,41.4,92.1,1005.4,1003.2,No
1.2,43.0,N,13.1,64.0,1029.6,6.0,56.9,8.0,5.1,4.0,2.1,77.4,53.5,1012.4,1002.8,No
22.7,46.8,E,64.5,56.5,1000.6,22.9,11.1,5.5,1.9,20.3,38.9,74.6,58.9,1014.8,1019.4,No
2.6,31.7,S,86.6,65.5,1026.4,24.5,11.6,11.9,1.0,6.8,30.3,60.6,52.6,1010.3,1004.5,No
22.8,31.5,SW,30.8,75.2,987.5,15.1,25.0,2.8,10.4,11.0,11.6,87.8,87.4,981.3,1029.9,Yes
12.6,21.2,WSW,96.8,82.7,1015.5,7.3,88.3,13.5,1.4,38.7,27.3,78.4,35.9,1019.8,993.0,Yes
15.5,41.4,NNE,48.0,46.6,1020.7,5.4,32.1,3.8,10.3,20.6,37.8,43.8,89.3,1015.4,995.6,No
10.3,16.0,NE,87.3,98.6,986.4,9.4,42.5,3.6,3.4,2.9,24.2,14.7,42.0,1028.2,1009.9,Yes
5.9,26.3,WNW,95.5,42.8,992.2,14.1,84.6,7.0,11.3,20.2,42.5,59.7,77.2,1014.8,1026.2,Yes
24.5,40.1,N,43.4,12.6,1022.3,29.4,96.1,11.2,5.4,29.0,24.0,41.3,60.7,1016.4,994.0,No
6.2,15.0,ESE,30.8,95.8,1026.5,20.3,5.2,12.6,9.8,44.7,39.3,26.6,66.2,987.9,1010.1,No
-2.9,32.7,WSW,97.8,68.5,1021.4,28.8,86.5,10.6,5.6,13.0,5.5,50.6,61.4,990.5,1020.4,No
12.9,48.6,WSW,64.0,98.4,1008.5,23.5,39.3,6.7,5.9,33.1,34.1,64.0,64.4,986.0,1007.6,Yes
11.6,48.7,NNW,94.1,74.1,996.2,28.2,15.4,2.6,10.4,41.4,37.5,31.1,19.1,997.9,1006.3,No
19.9,47.1,NNW,23.5,99.9,1003.9,22.7,9.2,0.9,3.0,41.0,2.3,41.5,42.9,1028.5,986.5,No
18.1,43.3,SE,25.3,16.5,1018.6,26.9,80.3,5.0,10.0,9.4,42.0,44.5,50.7,986.3,1020.5,No
14.2,45.7,SSW,16.1,44.9,1019.3,5.0,89.1,7.2,10.3,19.4,34.3,90.6,20.2,981.4,994.8,No
9.3,26.0,NNW,10.0,25.0,1017.7,26.0,2.4,2.4,1.2,47.6,0.8,62.3,56.1,984.4,1009.5,No
4.9,45.2,ENE,79.2,84.7,986.9,15.7,30.9,11.9,3.2,15.3,11.8,98.2,65.3,1007.5,1015.5,Yes
6.3,30.0,WNW,93.9,57.5,997.8,10.3,21.6,3.2,5.0,3.6,28.6,65.9,58.6,984.7,1010.0,No
1.9,33.0,ENE,21.2,47.3,989.7,21.6,43.1,6.9,7.3,23.1,8.4,90.5,31.5,987.7,1010.8,No
21.3,38.5,NW,28.2,76.6,993.6,21.6,56.2,14.6,12.6,24.8,14.9,24.5,60.8,995.0,1003.6,Yes
20.7,28.6,SSW,94.6,54.3,1010.9,23.7,42.0,9.0,8.2,32.9,14.1,66.4,95.8,1006.2,992.0,No
14.2,30.3,ENE,19.3,66.3,993.4,19.4,23.3,5.0,2.3,23.8,2.8,55.4,92.5,992.0,995.2,No
13.1,23.3,ENE,29.6,61.0,1020.3,14.8,22.2,2.8,11.4,36.0,6.1,30.5,54.8,988.1,1010.8,No
15.9,38.5,S,42.2,84.6,989.8,8.1,52.2,11.3,1.9,6.9,48.3,25.7,31.4,996.2,1023.2,Yes
15.2,36.6,SE,26.4,12.7,983.7,29.8,86.9,10.9,1.8,47.5,11.9,54.9,24.3,1002.3,986.0,Yes
16.3,26.7,SSW,15.5,26.2,1027.2,16.5,62.2,11.8,10.1,29.5,18.4,21.8,62.5,1003.1,1000.8,No
14.1,25.6,S,85.1,84.2,1023.4,32.3,79.0,4.5,9.7,47.2,34.4,40.9,95.3,1002.7,1014.4,Yes
5.0,25.0,ENE,85.2,13.3,1028.7,15.2,37.6,6.8,10.0,46.0,27.8,42.1,48.5,1006.4,999.6,No
10.7,41.5,NNE,20.6,17.1,1011.1,17.4,6.0,9.0,3.5,38.3,19.6,10.2,26.0,1020.3,1023.9,No
3.5,32.6,S,40.9,75.7,995.9,33.4,92.9,7.8,0.4,46.3,26.6,94.1,10.6,995.9,998.8,Yes
0.8,32.4,N,26.8,28.8,993.8,26.0,32.2,2.4,10.2,19.0,34.0,83.1,66.7,1014.0,984.5,No
